Repair_ID,Device_ID,Device_Type,Brand,Model,Serial_Number,Customer_Name,Engineer,Repair_Date,Failure_Category,Failure_Type,Root_Cause,Repair_Action,Parts_Used,Repair_Time_Hours,Repair_Cost,QC_Status,QC_Inspector,Rework,Final_Status,Warehouse,Supplier,Warranty,Customer_Satisfaction
RP000028,DV72021,Laptop,Lenovo,Aspire,SN-TjBl-71657,Tracie Nelson,Kimberly Webb,2026-01-21,Display,Keyboard,Stay or focus early various.,Replace Component,Motherboard,6.89,218.48,Pass,Jerry Christensen,Yes,Completed,Dallas,Intel,No,5
RP000029,DV19545,Workstation,Asus,Aspire,SN-FulF-99650,Robert Peterson,Meredith Hill,2025-04-03,Software,Operating System,Might course drop.,OS Reinstallation,Power Supply,2.82,542.04,Pass,Justin Allen,Yes,Pending,Houston,Intel,No,1
RP000030,DV83060,Laptop,Apple,ThinkPad,SN-sozS-77701,Matthew Wood,Hailey Barajas,2025-10-31,Power,Power Supply,Former reflect even edge building court.,Cleaning,Cooling Fan,9.53,718.57,Fail,Joshua Gill,No,Completed,Phoenix,Western Digital,No,2
RP000031,DV93579,Workstation,Asus,ThinkPad,SN-ULWH-23374,Veronica Wall,Isaac Turner,2025-10-03,Network,WiFi Card,Call animal approach factor want point.,Replace Component,Keyboard,2.73,301.89,Pass,Ashley Smith,Yes,Completed,Houston,Western Digital,Yes,2
RP000032,DV18418,Workstation,Lenovo,Aspire,SN-ldqE-47775,Austin Vasquez,Melissa Hernandez,2025-05-15,Power,Operating System,We be easy newspaper indicate other.,Replace Component,Motherboard,8.41,342.11,Pass,Patricia James,No,Pending,Dallas,Kingston,No,4
RP000033,DV64921,Desktop,Apple,ThinkPad,SN-KNdN-74964,Annette Farmer,Deborah Miller,2025-01-08,Network,Operating System,Community avoid able late.,OS Reinstallation,RAM Module,4.19,551.66,Fail,Doris Hall,Yes,Pending,Houston,Seagate,Yes,4
RP000034,DV87580,Laptop,Dell,ZenBook,SN-YYOL-47134,Taylor Coleman,Maria Kerr,2024-12-13,Power,SSD,Author coach film.,Component Repair,WiFi Card,2.23,245.12,Fail,Laura Roberts,Yes,Pending,Austin,Kingston,No,3
RP000035,DV65255,Laptop,Apple,Latitude,SN-GIFC-17464,Andrew Reynolds,David Davis,2025-10-28,Display,Motherboard,Onto again share start office several.,BIOS Update,Motherboard,6.68,635.92,Pass,Joseph Ramos,Yes,Completed,Houston,Samsung,Yes,2
RP000036,DV26544,Laptop,Acer,ThinkPad,SN-fEwA-42967,Michael Hodge,Michael Roberts,2025-03-16,Power,Screen,Spend nearly lawyer fire follow.,Component Repair,Cooling Fan,2.09,505.44,Pass,Jennifer Robertson,Yes,Pending,Dallas,Seagate,Yes,3
RP000037,DV85470,Workstation,Apple,ZenBook,SN-mHxN-08760,Lori Wolf,Joshua Pennington,2024-08-19,Software,RAM,Thing machine ahead picture son.,Cleaning,Motherboard,1.47,629.36,Pass,Emily Smith,Yes,Pending,Phoenix,Dell Parts,No,1
RP000038,DV76317,Server,Dell,MacBook Pro,SN-hPjF-61317,Dorothy Thornton,John Kennedy,2024-09-18,Power,RAM,Necessary himself two meet these.,OS Reinstallation,Cooling Fan,6.54,671.53,Pass,Desiree Tyler,No,Completed,Austin,Seagate,No,4
RP000039,DV67091,Server,Lenovo,ThinkPad,SN-sUtL-65840,Mary Grimes,John Cook,2024-11-14,Hardware,Screen,Help usually thank wonder draw him.,OS Reinstallation,Motherboard,7.63,477.39,Fail,Jennifer Flores,No,Completed,Phoenix,Kingston,Yes,4
RP000040,DV37802,Server,Lenovo,EliteBook,SN-ciGL-76627,Brian Kirk,Thomas Smith,2025-07-15,Display,Screen,Improve pressure child.,Cleaning,RAM Module,5.41,193.29,Pass,Wayne Morgan,No,Pending,Houston,Dell Parts,No,4
RP000041,DV68743,Laptop,Lenovo,ThinkPad,SN-uOTW-61586,Joshua Williamson II,Donna Perez,2026-06-26,Power,Battery,Its better plant.,BIOS Update,Cooling Fan,5.0,448.19,Fail,Jill Benson,No,Pending,Phoenix,Kingston,No,3
RP000042,DV40217,Desktop,Lenovo,Latitude,SN-wxBj-00504,Jason Maldonado,Christopher Lynch,2026-03-12,Display,SSD,People drive tree central leave.,Software Installation,Motherboard,7.52,257.37,Fail,David Smith,Yes,Completed,Austin,Intel,No,2
RP000043,DV49618,Desktop,Lenovo,Latitude,SN-CwLt-74821,Jessica Wright,Christina Cruz,2026-06-29,Hardware,Power Supply,Blood high grow fast recognize against.,BIOS Update,Battery,6.56,614.59,Pass,Jennifer Smith,Yes,Cancelled,Austin,Western Digital,No,4
RP000044,DV54657,Laptop,Lenovo,MacBook Pro,SN-MZwo-09743,Lisa Byrd,Mary Massey,2026-01-06,Hardware,RAM,Best physical always small almost half capital.,OS Reinstallation,WiFi Card,1.2,522.08,Pass,Erin Perry,Yes,Completed,Austin,Samsung,Yes,1
RP000045,DV83147,Desktop,Acer,MacBook Pro,SN-Grkq-32858,Terry Coffey,Seth Brock,2025-05-13,Power,WiFi Card,While cell whom team right.,BIOS Update,Power Supply,3.4,515.77,Pass,Tracy Ballard,Yes,Cancelled,Houston,Kingston,Yes,2
RP000046,DV41439,Laptop,Hp,Latitude,SN-IhDx-51604,Megan Richards,Teresa Rodriguez,2026-01-17,Power,WiFi Card,Likely people wall foreign.,Firmware Update,WiFi Card,3.27,223.61,Fail,Maria Reid,No,Completed,Houston,Kingston,Yes,4
RP000047,DV25043,Desktop,Asus,ThinkPad,SN-cctF-74612,David Medina,Jacob Avery,2025-01-02,Network,SSD,Industry score choice increase between majority.,Replace Component,RAM Module,2.08,280.71,Fail,Trevor Johnson,No,Completed,Phoenix,Dell Parts,No,4
RP000048,DV45683,Workstation,Apple,Latitude,SN-xgRx-53773,Vanessa Howard,Colton Martinez,2025-02-16,Display,Motherboard,Begin deep police wife anything.,OS Reinstallation,Cooling Fan,6.24,69.4,Pass,William Buchanan,Yes,Cancelled,Austin,Seagate,Yes,2
RP000049,DV71669,Workstation,Lenovo,ThinkPad,SN-novX-31839,Steven Smith,Brianna Anderson,2025-01-28,Display,Operating System,Sometimes body term capital.,Firmware Update,WiFi Card,9.71,402.51,Fail,Richard Chapman,No,Pending,Dallas,Intel,No,4
RP000050,DV74942,Workstation,Acer,Latitude,SN-VAHh-02402,Karen Strickland,Ashley Gordon,2025-09-21,Power,RAM,Analysis situation term miss leader who.,BIOS Update,Keyboard,3.57,777.64,Fail,John Morales,Yes,Cancelled,Phoenix,Western Digital,Yes,2
RP000051,DV77952,Workstation,Asus,MacBook Pro,SN-uMje-17711,Marcus Richards,Jane Harper,2025-07-08,Hardware,Battery,Law painting between reduce.,BIOS Update,Battery,9.31,378.59,Fail,Marilyn Mack,Yes,Completed,Houston,Dell Parts,Yes,3
RP000052,DV82199,Workstation,Dell,ThinkPad,SN-vDzA-36736,Emily Edwards,Troy Mcdaniel,2026-06-29,Hardware,WiFi Card,Attack story behavior benefit school speech.,Replace Component,Battery,5.23,587.45,Fail,Laurie Hoffman,No,Pending,Phoenix,Intel,No,5
RP000053,DV28958,Desktop,Acer,Aspire,SN-UdsM-51656,Brian Romero,John Boone,2025-06-16,Software,RAM,Suddenly happen several off southern.,BIOS Update,Power Supply,3.73,640.79,Fail,Vanessa Cardenas,Yes,Pending,Austin,Seagate,No,2
RP000054,DV68529,Workstation,Lenovo,EliteBook,SN-blrS-98094,Tammy Bell,Charles Sandoval,2025-01-08,Display,Power Supply,Center plan air.,OS Reinstallation,WiFi Card,9.36,702.2,Pass,Cindy Barnes,No,Completed,Phoenix,Samsung,No,4
RP000055,DV59968,Desktop,Apple,Latitude,SN-XKMf-52545,Brittney Webster,Brad Ramos,2025-06-13,Software,Power Supply,Magazine kind event sense box.,Cleaning,Cooling Fan,8.76,705.64,Fail,Douglas Gregory,Yes,Cancelled,Phoenix,Samsung,Yes,4
RP000056,DV95823,Laptop,Apple,EliteBook,SN-zMda-78403,Tony Saunders,Donna Wilson,2026-02-05,Network,Cooling Fan,Section compare herself region matter street.,Firmware Update,Power Supply,6.67,688.82,Fail,Andrea Hensley,No,Cancelled,Phoenix,Seagate,Yes,5
RP000057,DV18968,Server,Hp,ZenBook,SN-uKBK-06071,Mark Roberts,Vincent Jackson,2025-11-15,Hardware,Operating System,Least ready gun join black job.,Replace Component,SSD Drive,4.71,570.5,Pass,Blake Harrell,Yes,Pending,Dallas,Kingston,No,3
RP000058,DV66450,Desktop,Acer,MacBook Pro,SN-GOhH-53521,Susan Bailey,Sabrina Briggs,2026-02-14,Display,SSD,Bill eight community check.,Software Installation,Battery,1.25,703.13,Pass,Angela Bean,No,Cancelled,Houston,Intel,No,3
RP000059,DV70236,Laptop,Apple,EliteBook,SN-RKPO-77997,Mrs. Tricia Stewart,John Welch,2025-10-25,Display,SSD,Option goal avoid left.,Replace Component,WiFi Card,9.48,790.74,Fail,Jacob Mitchell,No,Cancelled,Austin,Western Digital,No,2
RP000060,DV60422,Laptop,Hp,MacBook Pro,SN-DLJY-19986,Amanda Stout,Chelsea Jacobs,2025-03-06,Display,Keyboard,Character artist billion tonight gas research.,Cleaning,Keyboard,9.93,271.42,Fail,Carrie Wright,No,Completed,Dallas,Seagate,No,3
RP000061,DV40162,Server,Hp,ZenBook,SN-kxxs-77889,Raymond Shelton,Mark Cook,2024-10-30,Software,Cooling Fan,Behind question exist rich prevent.,BIOS Update,Battery,6.47,727.55,Pass,Shelley Cook,No,Pending,Dallas,Seagate,No,2
RP000062,DV21813,Server,Asus,MacBook Pro,SN-iMTf-92546,James Conner,Meagan Calderon,2025-09-14,Software,Battery,Behavior provide meet adult final week.,Software Installation,Cooling Fan,5.54,735.12,Pass,Ralph Lee,No,Pending,Austin,Dell Parts,No,1
RP000063,DV71385,Desktop,Hp,ZenBook,SN-GXIV-22141,Amanda Rogers,Bonnie Bennett,2026-04-27,Power,Power Supply,Congress realize person total.,BIOS Update,SSD Drive,8.01,60.44,Pass,Amanda Diaz,No,Pending,Austin,Seagate,No,3
RP000064,DV24201,Desktop,Apple,Latitude,SN-oIpt-37947,Rachel Mckee,Michael Hudson,2024-08-21,Display,Power Supply,Left example high month whom.,BIOS Update,Motherboard,6.65,526.55,Fail,Rebecca Taylor,No,Cancelled,Phoenix,Samsung,Yes,1
RP000065,DV14877,Workstation,Dell,Latitude,SN-gTHh-40758,Phillip Nelson,Brittany Kim,2025-09-05,Software,Power Supply,Stage this us increase.,Software Installation,Power Supply,4.81,552.86,Fail,James Hughes,Yes,Pending,Dallas,Western Digital,No,3
RP000066,DV14288,Server,Hp,MacBook Pro,SN-gTPv-15305,Brenda Mitchell,Melissa Taylor,2024-08-06,Power,Battery,Large accept bad eight strong nature.,Component Repair,Cooling Fan,1.44,564.26,Fail,Kelsey Rodriguez,Yes,Pending,Austin,Intel,Yes,4
RP000067,DV22015,Desktop,Asus,ZenBook,SN-pAOY-43410,Amy Copeland,Mr. Mark Andrews DDS,2024-09-03,Display,Motherboard,Investment pass drive indicate.,Replace Component,Cooling Fan,2.81,144.44,Pass,Angela Villegas,Yes,Cancelled,Houston,Seagate,Yes,2
RP000068,DV53064,Laptop,Lenovo,ThinkPad,SN-JbyE-18888,James Brooks,Heather Jones,2026-02-12,Software,Power Supply,Run pick sign same.,BIOS Update,Battery,1.54,699.84,Pass,Andrew Payne,Yes,Pending,Houston,Seagate,No,1
RP000069,DV32838,Laptop,Hp,ZenBook,SN-eTXD-27722,Dakota Moody,Emily Collins,2025-10-15,Power,Power Supply,Writer myself education send course.,Replace Component,SSD Drive,5.02,633.51,Pass,Richard Glenn,No,Cancelled,Houston,Seagate,Yes,5
RP000070,DV49535,Laptop,Dell,MacBook Pro,SN-zVCy-54156,Cody Holt,Robert Adams,2025-03-31,Power,Operating System,Risk bad own.,Firmware Update,SSD Drive,5.16,732.28,Pass,Kimberly Morris,Yes,Pending,Houston,Samsung,Yes,3
RP000071,DV91830,Server,Apple,Aspire,SN-MTBk-15447,Heather Williams,Heather Bolton,2024-10-03,Display,Screen,Police social arm provide.,OS Reinstallation,Power Supply,1.44,576.33,Pass,Jose Brady,No,Pending,Houston,Western Digital,No,4
RP000072,DV62262,Laptop,Lenovo,MacBook Pro,SN-ciep-20297,Holly Reyes,Lisa Shelton,2025-05-14,Network,Screen,Head several off morning huge.,BIOS Update,Battery,7.02,405.7,Pass,Danielle Wilson,Yes,Completed,Phoenix,Samsung,No,2
RP000073,DV82924,Server,Asus,Latitude,SN-hqXq-27868,Cindy Carr,Yvonne Gonzalez,2026-05-13,Power,Keyboard,Table later together.,Component Repair,Power Supply,8.75,590.8,Fail,Brandon Fleming,No,Pending,Dallas,Seagate,Yes,2
RP000074,DV96079,Desktop,Dell,EliteBook,SN-stkT-55188,Melody Thompson,Danny Galloway,2025-03-07,Display,Keyboard,Door management guess.,Replace Component,Keyboard,5.95,655.42,Pass,Julie Bird,No,Completed,Houston,Kingston,No,3
RP000075,DV56009,Desktop,Hp,Aspire,SN-zTUE-29114,Patricia Morrow,William Day,2026-07-07,Power,RAM,Letter military campaign stop necessary.,Software Installation,RAM Module,1.37,447.86,Fail,Patricia Anderson,No,Pending,Austin,Intel,No,3
RP000076,DV52517,Laptop,Dell,ThinkPad,SN-tkku-80182,Courtney Meza,Diane Miller,2024-12-09,Software,Cooling Fan,Play nearly by field.,Replace Component,SSD Drive,3.08,546.45,Fail,Kathryn Jackson,No,Pending,Austin,Intel,Yes,3
RP000077,DV66349,Server,Asus,ZenBook,SN-vKcb-92299,Travis Wise,Daniel Armstrong,2026-03-22,Display,WiFi Card,Police marriage phone face what lot.,Cleaning,Keyboard,0.93,346.45,Pass,Melinda Evans,Yes,Completed,Austin,Intel,Yes,3
RP000078,DV47938,Laptop,Dell,MacBook Pro,SN-EDnv-10276,Emily Higgins,Shannon Hester,2025-08-12,Power,SSD,Set middle blood.,Software Installation,Power Supply,5.56,222.58,Fail,Bryan Cole,Yes,Pending,Dallas,Western Digital,Yes,4
RP000079,DV20205,Workstation,Acer,MacBook Pro,SN-NApk-21046,Taylor Griffith,Christopher Ferrell,2025-08-27,Power,Screen,Material final age war measure.,Replace Component,Power Supply,0.7,293.58,Fail,Cindy Gomez,No,Completed,Phoenix,Samsung,Yes,4
RP000080,DV87184,Laptop,Apple,EliteBook,SN-sIag-04797,Stephen Luna,Holly Morales,2025-05-29,Network,Battery,No guy eye hit late near.,BIOS Update,Battery,1.23,524.92,Pass,Lisa Carr,No,Pending,Houston,Intel,Yes,2
RP000081,DV43550,Desktop,Acer,ThinkPad,SN-JxWj-21655,Jordan Porter,Chad Cook,2025-12-23,Hardware,SSD,Mind chance throw cause use five.,Component Repair,WiFi Card,4.91,472.8,Fail,Luis Kirby,No,Cancelled,Austin,Intel,No,1
RP000082,DV71462,Server,Lenovo,Aspire,SN-FTKt-95888,Alan Rivera,Jason Parker,2025-04-17,Hardware,Keyboard,Ago listen whose situation simply officer return.,Cleaning,SSD Drive,3.45,388.94,Pass,Carolyn Fuller,No,Pending,Dallas,Dell Parts,Yes,5
RP000083,DV87867,Workstation,Apple,Aspire,SN-KShm-96230,Erik Hernandez,Jennifer Hampton,2025-02-09,Display,Motherboard,Their save artist catch debate foot.,OS Reinstallation,Motherboard,3.55,406.72,Pass,Kelly Edwards,Yes,Pending,Dallas,Kingston,Yes,5
RP000084,DV94689,Laptop,Hp,ZenBook,SN-wRXU-27858,Regina Baker,Dr. Douglas Evans,2026-01-18,Power,WiFi Card,Side relate real major.,Cleaning,Battery,3.96,738.45,Fail,Justin Michael,No,Pending,Dallas,Dell Parts,No,1
RP000085,DV53213,Workstation,Lenovo,EliteBook,SN-yzwX-44198,Donna Roberts,Hannah Ramos,2026-04-08,Display,SSD,Section degree still even.,BIOS Update,SSD Drive,6.04,156.07,Fail,Denise Rodriguez,No,Cancelled,Phoenix,Intel,Yes,3
RP000086,DV83259,Server,Hp,ZenBook,SN-oOod-93308,Gary Kennedy,Brenda Oconnell,2025-06-23,Display,RAM,Imagine various there local.,Firmware Update,Power Supply,5.33,63.67,Fail,Victor Morris,Yes,Completed,Austin,Western Digital,Yes,2
RP000087,DV28030,Laptop,Lenovo,Latitude,SN-VUcl-01938,Ryan Peck,Russell French,2026-02-05,Display,Power Supply,View while unit theory.,Component Repair,RAM Module,6.79,707.29,Pass,Keith Rodriguez,No,Completed,Houston,Intel,Yes,4
RP000088,DV15726,Server,Asus,ZenBook,SN-FiGD-54788,Robert Rivera,Mariah Higgins,2025-05-19,Software,WiFi Card,Say so nothing.,Cleaning,Keyboard,7.65,637.85,Pass,Casey Chase,Yes,Pending,Phoenix,Intel,No,5
RP000089,DV67749,Server,Apple,Aspire,SN-zQgl-66851,Mrs. Taylor Smith,Jeremy Adams,2025-03-28,Display,Operating System,Few reveal activity president realize.,Software Installation,Motherboard,8.11,153.8,Fail,Bryan Parker,Yes,Cancelled,Phoenix,Kingston,Yes,5
RP000090,DV26341,Laptop,Hp,EliteBook,SN-xNoo-68414,Karen Gibson,Jacqueline Miles DVM,2025-09-25,Power,Power Supply,Soon stay seven quite other skin.,Software Installation,Power Supply,1.37,732.88,Fail,Kelsey Cox,No,Completed,Phoenix,Samsung,No,5
RP000091,DV59015,Workstation,Dell,EliteBook,SN-mKIj-91088,Scott Ramos,Michelle Burns,2025-11-14,Software,Motherboard,Knowledge argue car indeed nor next.,BIOS Update,SSD Drive,8.47,537.47,Pass,Elizabeth Johnson,Yes,Completed,Austin,Western Digital,Yes,4
RP000092,DV68799,Laptop,Dell,Latitude,SN-cBwS-40391,Zachary Michael,Timothy Johnson,2024-10-21,Network,Battery,Conference career political role white.,Component Repair,Battery,5.71,595.43,Fail,Steven West,Yes,Pending,Houston,Kingston,Yes,1
RP000093,DV41252,Workstation,Dell,Latitude,SN-Pwhl-66182,Jenna Anderson DVM,Nicole Good,2025-05-10,Power,Cooling Fan,Pull name mother statement easy.,Cleaning,RAM Module,6.5,481.29,Pass,Donald Pineda,No,Pending,Dallas,Seagate,No,2
RP000094,DV84798,Desktop,Asus,ZenBook,SN-pneg-10690,Jill Powers,Dana Williams,2025-05-13,Hardware,Power Supply,Doctor describe tell argue mean.,BIOS Update,SSD Drive,9.56,458.06,Pass,Robert Dennis,No,Pending,Dallas,Dell Parts,No,3
RP000095,DV43246,Server,Dell,EliteBook,SN-tjQH-59953,Eric Brown,Sheryl Buck,2026-06-27,Software,RAM,Quickly new another general poor high modern.,Component Repair,Cooling Fan,1.77,314.22,Fail,Jennifer Evans,Yes,Cancelled,Phoenix,Dell Parts,No,2
RP000096,DV27675,Workstation,Dell,EliteBook,SN-tTjZ-28733,Anthony Gutierrez,Joseph Price,2026-05-10,Software,Motherboard,Data position two suggest.,Component Repair,Motherboard,8.92,286.7,Fail,Nathaniel Lee,No,Cancelled,Phoenix,Kingston,Yes,2
RP000097,DV47501,Laptop,Asus,EliteBook,SN-emZW-46990,Megan Robinson,Terry Turner,2025-07-13,Network,RAM,Deep couple scientist.,Component Repair,Cooling Fan,4.65,350.02,Fail,Nicole Rocha,No,Pending,Houston,Western Digital,No,3
RP000098,DV78062,Laptop,Asus,MacBook Pro,SN-uXsy-93638,Matthew Parker,Stephen Owens,2025-10-13,Hardware,Operating System,Seven floor data fine animal ten.,Cleaning,Battery,5.68,290.91,Pass,Alexis Tran,No,Cancelled,Austin,Kingston,No,5
RP000099,DV65851,Workstation,Lenovo,MacBook Pro,SN-mvoy-99642,Danielle Pierce,Gail Hines,2026-01-24,Hardware,Keyboard,Whom politics make collection some college.,Cleaning,Power Supply,3.11,785.02,Pass,Katherine Stark,Yes,Cancelled,Phoenix,Kingston,Yes,1
RP000100,DV28714,Workstation,Dell,ThinkPad,SN-QdWa-80801,Ryan Hall,Alexa Wagner,2024-10-29,Hardware,Battery,Art point value tree process.,Component Repair,Cooling Fan,3.94,762.1,Pass,Joseph Jenkins,Yes,Cancelled,Phoenix,Kingston,No,4
RP000101,DV20077,Desktop,Acer,EliteBook,SN-bGSR-08484,Todd White,Kelly Allen,2024-12-03,Power,Keyboard,Money spring environment however health image.,Firmware Update,Keyboard,2.87,135.09,Pass,Wanda Perez,No,Cancelled,Phoenix,Seagate,Yes,3
