Operator_ID,Operator_Name,Shift,Department,Experience_Years,Certification,Contact
Op054,John Barber,Night,Packaging,1,Plc,+1-519-426-8563X1511
Op055,Sheila Brooks,Night,Maintenance,9,Scada,+1-387-470-8923
Op056,Ashley Calhoun,Night,Quality,7,Robotics,244-406-7624X238
Op057,Carol Summers,Evening,Quality,22,Safety,(400)232-2690
Op058,Mitchell Olsen,Night,Quality,14,Safety,(315)668-8867
Op059,John Curry,Night,Maintenance,15,Plc,242.979.3447
Op060,Lisa Miller,Evening,Assembly,15,Plc,(997)839-6607
Op061,Steven Richardson,Evening,Assembly,3,Robotics,524.696.4059
Op062,Marco Pacheco,Night,Quality,3,Plc,(875)630-3177
Op063,Ashley Day,Day,Packaging,17,Robotics,486.476.7570
Op064,Michael Roberson,Night,Quality,4,Robotics,+1-398-496-0492X5414
Op065,Andrea Kelly,Evening,Quality,12,Safety,(831)529-1145
Op066,Jeremiah Sanders,Evening,Maintenance,1,Robotics,791.820.2039X53935
Op067,Latoya Benitez,Day,Quality,1,Plc,001-838-631-2496X39113
Op068,Richard Allen,Evening,Quality,22,Robotics,205-976-4210
Op069,Katie Contreras,Evening,Packaging,7,Robotics,001-719-781-2343X1775
Op070,Angela Johnson,Night,Packaging,12,Nan,497.483.4461X3414
Op071,Sandra Williams,Night,Quality,19,Nan,744.279.0587X7267
Op072,Amanda Morgan,Evening,Assembly,9,Robotics,001-903-576-9108X5620
Op073,Michelle Benton,Day,Maintenance,14,Safety,(506)234-0251X662
Op074,Kaitlyn Gilbert,Night,Packaging,16,Robotics,458-502-2248X580
Op075,Andre Parker,Evening,Assembly,5,Robotics,001-768-674-5981X7529
Op076,Dustin Nguyen,Day,Quality,3,Safety,+1-406-619-7495X68424
Op077,Jessica Galvan,Night,Packaging,11,Safety,(560)939-9570X7294
Op078,Wendy May,Day,Maintenance,2,Scada,718-374-5067X4359
Op079,Mark Leonard,Evening,Assembly,22,Scada,392.398.7333X73735
Op080,Dr. Alex Schwartz Md,Night,Maintenance,23,Safety,467-716-2776X0044
Op081,Stacy Ramos,Evening,Packaging,25,Safety,7666046379
Op082,Emily Curtis,Evening,Assembly,21,Safety,(929)201-3721
Op083,Mary Jackson,Day,Maintenance,19,Scada,301-869-6831
Op084,David Rodriguez,Night,Quality,18,Plc,378-628-4750X5936
Op085,Carl Rodriguez,Night,Quality,7,Robotics,(342)460-0062X65745
Op086,Gary Garcia,Night,Maintenance,8,Plc,+1-379-421-4739
Op087,Lisa Nichols,Night,Assembly,1,Plc,(692)736-9619X9582
Op088,Gary Kennedy,Day,Quality,18,Nan,(740)211-5899
Op089,Christopher Clark,Evening,Maintenance,3,Nan,+1-394-931-5102
Op090,Timothy Page,Night,Packaging,1,Robotics,620-593-5269X397
Op091,Robert Cobb,Night,Maintenance,5,Safety,626-851-8295
Op092,Angela Stewart,Evening,Maintenance,17,Safety,328-436-3373
Op093,Erika Christensen,Evening,Assembly,7,Safety,672-310-0595X32664
Op094,Troy Smith,Evening,Quality,5,Plc,475.368.5645X405
Op095,Deanna Anderson Md,Day,Quality,7,Robotics,9606588433
Op096,Anita Perry,Evening,Maintenance,7,Nan,6935498944
Op097,John Hayes,Evening,Quality,17,Nan,(350)625-2568
Op098,Timothy Mann,Evening,Packaging,8,Plc,+1-459-427-9241
Op099,Heather Mccarthy,Night,Assembly,22,Scada,426-310-9973X026
Op100,Amber Dean,Day,Packaging,12,Safety,(548)712-1664
Op101,John Taylor,Night,Quality,3,Safety,(895)822-0462
Op102,Anthony Gutierrez,Night,Assembly,15,Scada,(757)448-8033
Op103,Melissa Andrews,Day,Quality,10,Robotics,7735098116
Op104,Kelly Carter,Evening,Quality,15,Safety,323-861-8932X951
Op105,Allison Riley,Day,Quality,5,Safety,779-825-8707
Op106,Christopher Holmes,Day,Quality,15,Nan,336.931.6649
Op107,Beth Ho,Evening,Assembly,17,Nan,(216)962-7727X96188
Op108,Brandon Melton,Night,Quality,16,Robotics,+1-252-306-7950
Op109,Michael Davis,Evening,Maintenance,20,Robotics,(929)223-6570X1603
Op110,Jacqueline Mathis,Night,Maintenance,21,Scada,001-909-676-0100X730
Op111,Michelle Watkins,Evening,Maintenance,5,Nan,326.252.0266X787
Op112,Cassidy Mason,Evening,Packaging,15,Safety,+1-233-709-1062X72281
Op113,Micheal Hunt,Evening,Assembly,25,Scada,836.242.2921
Op114,Lauren Carter Md,Evening,Quality,15,Safety,+1-618-435-8742X8048
Op115,Mary Pierce,Night,Quality,10,Plc,(661)449-3725
Op116,Daniel Snyder,Evening,Packaging,1,Safety,828.687.3993X332
Op117,Angela Liu,Evening,Quality,12,Plc,740.676.6550
Op118,Kathleen Cochran,Evening,Quality,12,Scada,(570)922-3020
Op119,Stephen Wood,Evening,Assembly,3,Robotics,(258)731-1107
Op120,Jennifer Duran,Evening,Packaging,21,Scada,907.693.7434X26102
Op121,Tyrone Thompson,Day,Assembly,2,Plc,4538166474
Op122,Alan Wilson,Night,Maintenance,24,Plc,001-812-297-1200
Op123,Joe Morales,Evening,Maintenance,13,Robotics,001-435-396-7372
Op124,Brian Hall,Night,Packaging,8,Robotics,637.632.4890X240
Op125,Yvonne Garcia,Night,Maintenance,11,Scada,+1-716-627-5573X11841
Op126,Cheryl Johnson,Night,Maintenance,21,Safety,+1-973-223-6345
Op127,Ronald James,Evening,Packaging,11,Scada,328-344-1657X2758
Op128,Cynthia Brennan,Day,Packaging,14,Safety,+1-203-986-4029X7204
Op129,Christopher Conley,Day,Assembly,2,Robotics,6316595044
Op130,Derek Ramirez Dvm,Evening,Assembly,19,Plc,(271)614-1736
Op131,Carl Martin,Day,Assembly,24,Scada,389.515.4327X37274
Op132,Katelyn Wells,Evening,Maintenance,14,Plc,001-452-752-4161X474
Op133,Troy Gallagher,Day,Quality,11,Plc,+1-646-997-6523X74966
Op134,Rodney Smith,Day,Assembly,22,Robotics,+1-514-969-9520X04366
Op135,Shane Cole,Night,Packaging,24,Safety,001-879-756-8555
Op136,Jeffrey Barnett,Evening,Quality,14,Plc,(759)517-9418X629
Op137,Connie Chang,Evening,Maintenance,16,Safety,001-234-233-1883
Op138,Randy Brown,Evening,Assembly,17,Safety,+1-645-625-1477X93921
Op139,Rebecca Gibson,Night,Quality,22,Plc,+1-609-392-8885X10869
Op140,Henry Freeman,Evening,Quality,24,Nan,(971)888-6478
Op141,Juan Becker,Evening,Quality,22,Safety,+1-365-930-2642
Op142,Joshua Watts,Night,Packaging,23,Nan,+1-402-819-2164X3740
Op143,Diane Ray,Day,Maintenance,23,Scada,+1-961-601-6014X0593
Op144,Jennifer Gilbert,Evening,Quality,11,Nan,(704)357-3958X614
Op145,Shawn Morris Md,Night,Maintenance,1,Nan,8783451005
Op146,Rebecca Evans,Night,Assembly,9,Scada,+1-290-388-3402X539
Op147,Benjamin Hall,Night,Packaging,23,Scada,789.762.6370X96086
Op148,Joshua Lopez,Day,Packaging,19,Scada,763-554-7967X8236
Op149,Richard Lynn,Evening,Quality,10,Plc,7418906597
Op150,Anthony Duke Jr.,Evening,Maintenance,16,Scada,001-331-852-0293
Op151,Ashley Sullivan,Night,Quality,6,Scada,(607)472-3874X7465
Op152,Tina Brown,Day,Maintenance,2,Robotics,+1-673-302-0859
Op153,Priscilla Richards,Day,Packaging,3,Nan,365-646-8138
Op154,Chad Cox,Evening,Quality,2,Robotics,958.610.8584X285
Op155,Susan Myers,Evening,Maintenance,15,Scada,001-880-807-7574X47760
Op156,Hannah Taylor,Day,Assembly,9,Safety,(992)525-8786X0139
Op157,Keith Ayers,Night,Maintenance,6,Robotics,(673)262-4098
Op158,Susan George,Evening,Maintenance,10,Scada,001-652-913-1368
Op159,Courtney Campos,Day,Packaging,11,Nan,670-564-9798X918
Op160,Warren Evans,Evening,Maintenance,4,Plc,934.386.1123X8185
Op161,Laurie Jones,Night,Packaging,24,Scada,264-850-5920
Op162,Tammy Graham,Night,Quality,21,Scada,001-651-474-5699X01815
Op163,Betty Sparks,Evening,Assembly,18,Safety,(492)353-5310X8340
Op164,Elizabeth Carpenter,Evening,Maintenance,16,Safety,001-930-552-4765X242
Op165,Denise Collins,Evening,Assembly,7,Plc,745-310-3897
Op166,Tammy House,Day,Maintenance,3,Nan,217-502-3777
Op167,Jennifer Taylor,Night,Packaging,1,Scada,+1-908-808-1508X857
Op168,Victoria Ramos,Evening,Maintenance,7,Robotics,317-237-4924X275
Op169,Mason Freeman,Evening,Maintenance,18,Plc,+1-589-763-2924X04005
Op170,Carol Colon,Evening,Packaging,20,Nan,001-278-779-1701X6756
Op171,Mark Ortega,Night,Maintenance,21,Scada,286.716.6680X66611
Op172,Erica Stanton,Night,Assembly,16,Nan,3752371248
Op173,Eugene Johnston,Night,Maintenance,11,Nan,9844032262
Op174,Mr. Dennis Petersen,Night,Assembly,19,Nan,001-878-786-7728X111
Op175,Melissa Gentry,Evening,Assembly,6,Nan,356.663.6409
Op176,James Fisher,Evening,Maintenance,12,Nan,375-498-0210X784
Op177,Austin Davis,Day,Quality,15,Robotics,001-539-811-0803X032
Op178,Marco Mcgrath,Night,Packaging,7,Nan,(315)237-3083X657
Op179,Joseph Todd,Day,Assembly,19,Scada,001-842-583-1182
Op180,Matthew Steele,Evening,Assembly,18,Plc,509-470-6439X5430
Op181,Benjamin Gilbert,Night,Assembly,7,Nan,(655)313-5512X6321
Op182,Angie Nolan,Day,Maintenance,13,Scada,+1-652-234-5432
Op183,Jasmine Garcia,Evening,Packaging,23,Nan,(429)440-3399X32663
Op184,Jade Koch,Day,Maintenance,6,Plc,001-666-252-7268X81760
Op185,Heather Olson,Night,Maintenance,19,Safety,(935)558-8387X64683
Op186,Michael Hughes,Night,Packaging,25,Plc,561-628-8910X987
Op187,Joseph Saunders,Night,Assembly,6,Plc,734.674.3029
Op188,Shannon Walker,Night,Maintenance,5,Safety,001-796-844-3440X52756
Op189,Courtney Thomas,Day,Maintenance,3,Plc,363-791-7436
Op190,Brian Terry,Evening,Quality,3,Scada,001-903-313-3858X2581
Op191,Jamie Bradley,Day,Assembly,11,Robotics,+1-480-956-7327X375
Op192,Christopher Montgomery,Evening,Packaging,2,Plc,+1-335-325-2171X6852
Op193,Mr. Joshua Carroll,Evening,Packaging,2,Scada,947.644.0360
Op194,Beverly Lopez,Day,Maintenance,10,Plc,001-420-445-4997X65161
Op195,David Estrada,Evening,Quality,18,Plc,266.459.7457
Op196,Catherine Martin,Night,Assembly,2,Nan,001-823-309-9153X7516
Op197,Billy Byrd,Night,Quality,12,Nan,842.421.7681X8387
Op198,Zachary Mcneil,Night,Maintenance,22,Robotics,(518)749-6622X084
Op199,Autumn Thomas Md,Evening,Quality,14,Safety,(822)708-5124
Op200,Tara Daniel,Day,Maintenance,11,Robotics,(844)856-1265X3696
Op201,Natalie Whitaker,Day,Packaging,20,Nan,617-900-1969X4671
Op202,Steven Johnson,Day,Packaging,14,Nan,363-977-9182X90657
Op203,Tracy Walker,Night,Maintenance,11,Scada,751-641-1814
Op204,Christina Wells,Day,Quality,10,Plc,(495)436-6405
Op205,Thomas Friedman,Night,Assembly,1,Safety,001-499-611-1258X9311
Op206,Andrew Ray,Day,Quality,21,Safety,280-933-4194
Op207,Brandon Proctor,Night,Assembly,1,Plc,+1-304-943-3177
Op208,Joseph Williams,Night,Packaging,6,Robotics,632.431.7000
Op209,Joseph Mueller,Day,Assembly,13,Nan,(449)670-3474
Op210,Sarah Harrison,Day,Quality,17,Scada,001-349-938-0836X393
Op211,Amy Rogers,Day,Assembly,21,Safety,270-212-3506
Op212,Melissa Patrick,Evening,Quality,6,Safety,(298)482-3606
Op213,James House,Night,Quality,5,Plc,414-589-8613
Op214,Brian Lewis,Night,Packaging,21,Robotics,(459)418-0833X867
Op215,Mary Benson,Evening,Assembly,24,Plc,840-667-7639
Op216,Benjamin Rich,Day,Maintenance,19,Scada,800-377-7387X376
Op217,Ethan Williams,Day,Maintenance,16,Scada,335-809-8371X622
Op218,Angela May,Day,Quality,2,Scada,+1-632-438-6978X5019
Op219,Lisa Harvey,Day,Packaging,1,Plc,001-875-967-6534X49536
Op220,Erin Brooks,Night,Quality,9,Nan,(872)366-6692X8193
Op221,Joshua Bradley Dds,Evening,Quality,24,Scada,(623)749-4054X449
Op222,Nicholas Snyder,Evening,Packaging,18,Safety,528-498-3647X154
Op223,Andrew Stephens,Day,Packaging,20,Robotics,5947188988
Op224,Christina Adams,Day,Maintenance,11,Scada,380.853.1582X523
Op225,Nichole Wilson,Night,Assembly,11,Nan,418-921-9139
Op226,Troy Jacobs,Night,Assembly,23,Scada,001-891-460-7650X713
Op227,Jennifer Ruiz,Night,Quality,1,Safety,4359371049
Op228,Michael Nelson,Day,Maintenance,18,Plc,+1-571-850-6826X13908
Op229,Charles Thompson,Day,Packaging,9,Plc,001-386-831-3247X18305
Op230,Joseph Gregory,Evening,Maintenance,10,Safety,499.296.9316X1366
Op231,James Johnson,Evening,Quality,13,Nan,+1-689-558-2119
Op232,Brian Patterson,Evening,Assembly,23,Nan,+1-748-861-1356X761
Op233,Diane Harper,Day,Maintenance,3,Nan,001-292-305-4260X7934
Op234,Debra Henderson,Night,Maintenance,14,Safety,(601)660-8889X07687
Op235,Katelyn Miller,Night,Maintenance,7,Plc,(623)514-5322
Op236,Robert Murphy,Day,Quality,11,Robotics,(764)307-4982
Op237,Jason Gentry,Evening,Packaging,8,Nan,001-988-801-0055
Op238,Joseph Jones,Night,Quality,17,Nan,+1-800-306-0552
Op239,Lisa Lee,Night,Quality,24,Safety,(455)547-7751X147
Op240,Sherry Russell,Evening,Quality,23,Nan,+1-757-275-0406X042
Op241,Madison Floyd,Night,Packaging,3,Scada,597-698-3469
Op242,John Thompson,Evening,Assembly,14,Scada,581.478.6957X844
Op243,William Bishop,Day,Assembly,3,Plc,2158140305
Op244,Evan Bullock,Night,Packaging,18,Safety,339.865.8737X39346
Op245,Andrew Goodman,Day,Maintenance,16,Nan,(975)400-8069
Op246,Taylor Hernandez,Evening,Quality,3,Nan,252.941.4713X081
Op247,Kimberly Collins,Night,Assembly,7,Nan,+1-791-285-8687
Op248,Angela Mccullough,Day,Packaging,11,Plc,432.714.0346X9988
Op249,Yolanda Vaughan,Night,Maintenance,17,Nan,348.226.7031X3411
Op250,David Aguilar,Evening,Packaging,18,Scada,231.819.3373
Op251,Michael Ruiz,Night,Maintenance,10,Plc,909.311.9162X3689
Op252,Steven Perez,Night,Assembly,9,Safety,817-593-2595X20315
Op253,William Ray,Night,Assembly,12,Scada,851-468-7868X7849
Op254,Gary Bates,Evening,Quality,5,Nan,(209)756-4106X31705
Op255,Morgan Mitchell,Day,Maintenance,3,Safety,521-384-6972
Op256,Cheryl Pennington,Evening,Packaging,21,Plc,8426828885
Op257,Tiffany Hart,Night,Maintenance,24,Scada,001-358-599-6903X7327
Op258,Glenn Harris,Day,Quality,16,Plc,001-570-657-4357X99278
Op259,Bethany Rodriguez,Night,Maintenance,17,Nan,886-365-7944X0623
Op260,Jessica Walker,Evening,Quality,11,Safety,455-903-6267X3698
Op261,Richard Gillespie,Night,Packaging,19,Scada,5508553174
Op262,Mark Larson,Evening,Packaging,6,Nan,(572)606-8704X3410
Op263,William Cooley,Day,Assembly,25,Plc,5419783357
Op264,Mr. Matthew Scott,Night,Packaging,5,Scada,6975831022
Op265,Robin Glenn,Evening,Packaging,2,Safety,(273)894-7967
Op266,Mike Mckay,Night,Maintenance,14,Nan,815-487-7628X6735
Op267,Collin Ross,Night,Maintenance,22,Safety,(558)798-4581
Op268,Rachel Simpson,Evening,Quality,21,Safety,414-655-8154X727
Op269,Dennis Taylor,Night,Assembly,20,Safety,+1-251-747-2207
Op270,Mark Gonzalez,Evening,Maintenance,18,Scada,821-338-9470X5058
Op271,Gregory Hudson,Evening,Maintenance,24,Robotics,750.711.8664X61024
Op272,Gene Kim,Night,Maintenance,19,Safety,(554)919-0816
Op273,Ethan Rasmussen Dds,Evening,Packaging,3,Scada,+1-425-926-5385X2102
Op274,Jonathan Jordan,Evening,Packaging,3,Safety,581-393-1598X923
Op275,Tammy Nelson,Evening,Maintenance,22,Robotics,920.569.9625
Op276,Shelly Wright,Night,Packaging,17,Nan,5499655910
Op277,John Kennedy,Evening,Maintenance,18,Safety,644.858.1357X1823
Op278,Laura Green,Evening,Assembly,22,Plc,339-396-8211
Op279,Andrea Smith,Night,Maintenance,17,Safety,669-912-4059X2302
Op280,Deborah Sims,Night,Packaging,14,Safety,686.490.0739
Op281,Linda Norton,Evening,Assembly,24,Plc,6054455550
Op282,Erica Waters,Night,Quality,14,Robotics,001-561-433-2451X820
Op283,Ashley Silva,Evening,Packaging,9,Nan,669-837-9976X426
Op284,Nicole Watts,Evening,Maintenance,11,Plc,6942550403
Op285,Dustin Hurley,Evening,Quality,10,Plc,959-481-4566
Op286,Pamela Green,Night,Quality,15,Nan,+1-662-267-5007X875
Op287,Sheila Ford,Night,Quality,8,Plc,+1-230-715-2262X8389
Op288,Michael Brown,Day,Packaging,12,Nan,+1-270-683-2348X84747
Op289,Cynthia Francis,Day,Assembly,4,Safety,001-324-474-3617X93366
Op290,Rachel Chan,Day,Assembly,3,Robotics,001-423-232-7210X488
Op291,Anita Lee,Night,Quality,21,Scada,001-301-205-8097X10433
Op292,Justin Campbell,Day,Maintenance,5,Scada,769.614.0898X28964
Op293,Larry Cruz,Night,Maintenance,25,Nan,243-231-2225
Op294,Joshua Gardner,Night,Packaging,10,Nan,(971)722-1350X877
Op295,Maria Powell,Day,Quality,13,Safety,001-920-799-8569X416
Op296,Chad James,Night,Assembly,19,Nan,001-793-331-7584X250
Op297,Mr. Ryan Summers Dvm,Evening,Quality,21,Plc,8377938390
Op298,Russell Sherman,Day,Assembly,9,Plc,954-953-5075X712
Op299,Elizabeth Murray,Day,Packaging,10,Nan,940.551.1667
Op300,Victoria Anderson,Day,Assembly,11,Scada,001-490-499-7913X368
Op301,Laura Wheeler,Evening,Packaging,12,Nan,4783006380
Op302,Nicholas Allen,Evening,Quality,24,Safety,001-241-457-4731X443
Op303,Cathy Mata,Day,Maintenance,11,Robotics,2258262026
Op304,Janet Williams,Evening,Quality,1,Robotics,528-233-0765
Op305,Rodney Coleman,Day,Packaging,13,Plc,712-771-3436
Op306,Terry Fuentes,Night,Quality,16,Robotics,983-873-8134
Op307,Penny Mendoza,Night,Quality,21,Scada,206-748-8634X9444
Op308,Matthew Collins Jr.,Evening,Packaging,2,Robotics,(200)952-5951
Op309,Christy Gutierrez,Night,Packaging,13,Robotics,+1-789-369-0896
Op310,Joseph Mcbride,Night,Assembly,4,Nan,881-795-6328
Op311,Keith Davis,Night,Packaging,23,Nan,+1-535-783-2277
Op312,Jennifer Ward,Evening,Quality,15,Scada,(383)622-5176
Op313,Julia Forbes,Night,Maintenance,24,Plc,(869)519-4633
Op314,Guy Robles,Day,Assembly,12,Robotics,001-320-463-2067X38169
Op315,Harold Johnson,Night,Packaging,18,Scada,+1-511-493-3513
Op316,Barbara Cortez,Day,Quality,15,Robotics,295.867.0067
Op317,Angela Smith,Evening,Packaging,3,Scada,651-925-8983
Op318,Catherine Mendoza,Evening,Packaging,14,Robotics,(504)978-9386
Op319,Kristina Levy,Day,Maintenance,13,Safety,(350)812-7641X443
Op320,Karl Wiley,Night,Maintenance,10,Safety,660.920.3262X107
Op321,Catherine Williams,Day,Quality,18,Nan,(780)500-6130X87089
Op322,Tammy Ford,Day,Quality,11,Plc,+1-493-251-8235X42453
Op323,Sandra Castillo,Night,Assembly,20,Nan,(294)578-0684
Op324,Kelsey Gray,Day,Quality,16,Robotics,(213)420-9207X5896
Op325,Melissa Arnold,Evening,Assembly,5,Nan,(286)665-5662X401
Op326,Alexandra Ruiz,Night,Maintenance,10,Plc,(678)275-7740X840
Op327,Nathaniel Ford,Evening,Packaging,11,Scada,267.276.2385X9794
Op328,Rebecca Harris,Night,Assembly,14,Robotics,6086913653
Op329,Maria Andrews,Night,Packaging,17,Scada,(301)419-2288
Op330,Shawn Avila,Night,Maintenance,22,Nan,610-380-7156
Op331,Daniel Benson,Evening,Maintenance,15,Safety,745-388-6374
Op332,Emily Lee,Evening,Maintenance,13,Robotics,(958)268-6271
Op333,Jesse Anderson,Night,Assembly,16,Plc,(454)204-2475
Op334,Janet Ford,Evening,Maintenance,10,Nan,903.534.2634
Op335,Allison Myers,Evening,Packaging,21,Robotics,(438)324-1515X1841
Op336,Nathan Nelson,Day,Quality,18,Safety,+1-541-735-1730X5342
Op337,William Lewis,Night,Quality,4,Robotics,(956)629-3345
Op338,Ruben Rhodes,Evening,Packaging,5,Plc,(540)329-1887X8916
Op339,Valerie Miller,Night,Maintenance,25,Nan,(277)723-9772
Op340,Lauren Ortiz,Day,Quality,13,Scada,304.546.9606
Op341,William Jones,Evening,Assembly,12,Scada,+1-550-229-5446X030
Op342,Crystal Stewart,Evening,Quality,15,Plc,833.232.0829X725
Op343,David Zimmerman,Day,Assembly,4,Plc,+1-654-736-8448
Op344,Donna Orozco,Evening,Maintenance,15,Safety,(357)973-4627X9419
Op345,Laura Richard,Day,Maintenance,20,Robotics,514-494-3687X8258
Op346,Robert Fleming,Day,Assembly,22,Robotics,433-721-5278
Op347,Margaret Robbins,Night,Quality,5,Scada,+1-905-221-5414X550
Op348,Melanie White,Evening,Maintenance,15,Nan,648-418-6809X14358
Op349,James Williams,Evening,Quality,9,Plc,5785171546
Op350,Linda Martin,Day,Maintenance,9,Safety,+1-278-745-6208X766
Op351,Monique Short,Evening,Assembly,13,Nan,(433)823-0712X4838
Op352,Erica West,Evening,Maintenance,15,Scada,(444)995-4962X5350
Op353,Samantha Moreno,Night,Maintenance,5,Scada,001-905-944-6469X9042
Op354,Robert Jones,Day,Maintenance,12,Robotics,647.763.5506
Op355,Joshua James,Night,Assembly,25,Nan,461-734-5313X9428
Op356,Catherine Walker,Evening,Quality,24,Nan,965.315.9594
Op357,David Perry,Evening,Quality,12,Nan,4189933693
Op358,Christine Wilcox,Day,Quality,13,Plc,+1-268-782-5373
Op359,Willie Rangel,Day,Maintenance,21,Plc,(768)436-9831X5865
Op360,Nancy Davila,Day,Quality,6,Scada,952.871.9454X962
Op361,Jessica Flores,Day,Maintenance,15,Plc,7482357645
Op362,Travis Carter,Evening,Assembly,15,Plc,500-515-9712
Op363,Christopher Lopez,Evening,Quality,19,Safety,(613)285-8973X4573
Op364,Michael Mcbride,Night,Assembly,9,Safety,942-305-9135X123
Op365,Regina Barajas,Night,Quality,24,Scada,438-271-8101X0879
Op366,Rebecca Collins,Evening,Assembly,18,Robotics,770-595-5113X4638
Op367,Donald Hendricks,Night,Maintenance,19,Robotics,6027778409
Op368,Andrea Mays,Day,Packaging,16,Robotics,001-678-754-6796X77814
Op369,Kathy Snow,Evening,Quality,2,Plc,(467)275-4356X49424
Op370,Steven Shaw,Evening,Assembly,7,Nan,001-895-493-8836X502
Op371,John Mann,Evening,Assembly,1,Plc,001-303-932-5008X02337
Op372,Jennifer Stewart,Evening,Maintenance,20,Plc,275.356.8705X565
Op373,Dustin Brewer,Night,Assembly,25,Plc,(972)588-6028
Op374,Beverly Ponce,Evening,Assembly,13,Safety,(634)454-8110X73221
Op375,Joyce Schwartz,Night,Maintenance,19,Plc,370-385-9187X206
Op376,Alyssa Obrien,Evening,Quality,23,Nan,001-360-290-1461X2489
Op377,Ashley Fleming,Day,Maintenance,11,Plc,891-312-7735X86690
Op378,Collin Martin,Evening,Packaging,4,Robotics,802.959.9175X593
Op379,Shelby Stevens,Night,Packaging,22,Nan,(317)845-5182X456
Op380,Ann Mack,Night,Quality,15,Safety,(969)545-0955
Op381,Arthur Thomas,Night,Packaging,12,Scada,(573)267-1442X87489
Op382,Kenneth Gillespie,Evening,Quality,8,Robotics,987-329-6878X09856
Op383,Jennifer Crawford,Night,Maintenance,23,Nan,+1-338-557-5144X2724
Op384,Michael Russell,Night,Quality,2,Safety,(512)413-6079
